"","1r","2r","3r","4r"
"CPMNACSCAB1GQPL",NA,"Estacionario",NA,NA
"POLBRODFT02STSAM",NA,"Estacionario",NA,NA
"BCEMFT02PLM460S",NA,"Estacionario",NA,NA
"BSEMFT02PLM460S",NA,"Estacionario",NA,NA
"CP0410PLM086NEST",NA,"Estacionario",NA,NA
"CP0400PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1252PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0444PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUPLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0432PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHOPLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0440PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02PLM460S",NA,"Estacionario",NA,NA
"BSCICP03PLM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02PLM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02PLM460S",NA,"Estacionario",NA,NA
"BSPRFT02PLM460S",NA,"Estacionario",NA,NA
"BSPRTE02PLM460S","Estacionario",NA,"Estacionario","Estacionario"
"BSSPFT02PLM460S",NA,"Estacionario",NA,NA
"POLPPDMMINMEI",NA,NA,"Estacionario","Estacionario"
"LCEAMN01PLM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"POLLCEAMN01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN03PLM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02PLM659N",NA,NA,"Estacionario","Estacionario"
"POLPIEAMP01GPM",NA,"Estacionario",NA,NA
"PIEAMP01PLM661N",NA,"Estacionario",NA,NA
"POLPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"POLPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"POLLOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"POLLOCOBPORSTSAM","Estacionario",NA,"Estacionario","Estacionario"
"POLLOCOPQNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"POLLOCOPQORMLSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"POLPROCONMISMEI",NA,"Estacionario",NA,NA
"POLPRCNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"POLPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"POLPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"POLCPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"POLCPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1120PLM086NEST","Estacionario","Estacionario",NA,NA
"CP0562PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1260PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0621PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERV00PLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCOPLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVRPPLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRPLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMIPLM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730PLM086NEST",NA,NA,"Estacionario","Estacionario"
"LRHUTTTTPLM156S","Estacionario","Estacionario",NA,NA
"POLLOCOEMNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"POLLOCOEMORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRLTTPLM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRRTTPLM156S",NA,NA,"Estacionario","Estacionario"
"LFHUTTTTPLM647S",NA,"Estacionario",NA,NA
"NBPLBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02PLM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBPLBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01PLM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01PLM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"POLCPHPLA01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01PLM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01PLM156N",NA,"Estacionario","Estacionario","Estacionario"
"IRSTCI01PLM156N",NA,"Estacionario",NA,NA
"IRSTCB01PLM156N",NA,"Estacionario",NA,NA
"TRESEGPLM052N",NA,"Estacionario",NA,NA
"BSXRLV02PLM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01PLM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"POLXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4550","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01PLM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"POLXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP4550","Estacionario","Estacionario","Estacionario","Estacionario"
"poland_WIG20","Estacionario","Estacionario","Estacionario","Estacionario"
