"","1r","2r","3r","4r"
"CPMNACSCAB1GQPL",0.01,0.01,0.313053848665384,0.01
"POLBRODFT02STSAM",0.01,0.01,0.167085477950337,0.01
"BCEMFT02PLM460S",0.0261831431629867,0.0261831431629867,0.366505716513513,0.0331543246246406
"BSEMFT02PLM460S",0.01,0.01,0.328043177348739,0.01
"CP0410PLM086NEST",0.01,0.01,0.125570312214028,0.01
"CP0400PLM086NEST",0.0228606434615019,0.0228606434615019,0.02404701613672,0.0253886676387231
"CP1252PLM086NEST",0.01,0.01,0.01,0.01
"CP0430PLM086NEST",0.01,0.01,0.01,0.01
"CP0444PLM086NEST",0.0165977384045687,0.0165977384045687,0.017818054314029,0.0193434388410732
"X00XHOUPLM086NEST",0.01,0.01,0.01,0.01
"CP0432PLM086NEST",0.01,0.01,0.01,0.01
"SERVHOPLM086NEST",0.01,0.01,0.01,0.01
"CP0550PLM086NEST",0.01,0.01,0.01,0.01
"CP0440PLM086NEST",0.01,0.01,0.01,0.01
"BSCICP02PLM460S",0.01,0.01,0.0777655791970027,0.01
"BSCICP03PLM665S",0.01,0.01,0.01,0.01
"BSFGLV02PLM460S",0.01,0.01,0.01,0.01
"BSOBLV02PLM460S",0.01,0.01,0.334837003159968,0.01
"BSPRFT02PLM460S",0.01,0.01,0.0761277972759087,0.01
"BSPRTE02PLM460S",0.01,0.0541833926904555,0.01,0.0566934223213947
"BSSPFT02PLM460S",0.01,0.01,0.280643123255197,0.01
"POLPPDMMINMEI",0.01,0.0660880044831084,0.01,0.954123698834406
"LCEAMN01PLM661S",0.01,0.01,0.01,0.0221560345953846
"POLLCEAMN01GPSAM",0.01,0.01,0.01,0.01
"LCEAMN03PLM661S",0.01,0.01,0.01,0.0221560345953846
"PIEAMP02PLM659N",0.0114473703924614,0.565023058418871,0.01,0.971452289982738
"POLPIEAMP01GPM",0.01,0.01,0.81266923031363,0.01
"PIEAMP01PLM661N",0.01,0.0114473703924614,0.928855181706427,0.01
"POLPROMANMISMEI",0.01,0.01,0.01,0.01
"POLPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"CP0611PLM086NEST",0.01,0.01,0.01,0.01
"POLLOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"POLLOCOBPORSTSAM",0.01,0.0541833926904555,0.01,0.0566934223213947
"POLLOCOPQNOSTSAM",0.01,0.01,0.01,0.01
"POLLOCOPQORMLSAM",0.01,0.01,0.01,0.01
"POLPROCONMISMEI",0.01,0.01,0.0559058966850834,0.01
"POLPRCNTO01GPSAM",0.01,0.01,0.01,0.01
"POLPRINTO01GPSAM",0.01,0.01,0.01,0.0112463954262065
"POLPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"POLCPHP1200GPM",0.0493749260816921,0.01,0.0119038307663639,0.0145774675379324
"POLCPHPSE01IXOBM",0.01,0.01,0.01,0.01
"CP1120PLM086NEST",0.01,0.0493749260816921,0.0502733652785976,0.01
"CP0562PLM086NEST",0.0244689018378596,0.01,0.01,0.01
"CP1260PLM086NEST",0.01,0.01,0.01,0.01
"CP0621PLM086NEST",0.01,0.0244689018378596,0.0242796044789632,0.0359648614308806
"CP1200PLM086NEST",0.0124735841565003,0.01,0.01,0.01
"SERV00PLM086NEST",0.01,0.01,0.01,0.01
"SERVCOPLM086NEST",0.01,0.0124735841565003,0.01,0.01
"SERVRPPLM086NEST",0.01,0.01,0.01,0.01
"SERVTRPLM086NEST",0.0445271351019314,0.01,0.01,0.01
"SERVMIPLM086NEST",0.01,0.01,0.01,0.01
"CP0730PLM086NEST",0.0285086246461526,0.959155261801962,0.01,0.99
"LRHUTTTTPLM156S",0.0432094834698681,0.0445271351019314,0.0664705402406823,0.294227801116577
"POLLOCOEMNOSTSAM",0.01,0.01,0.01,0.01
"POLLOCOEMORSTSAM",0.01,0.0285086246461526,0.0309733305937759,0.0367672265680499
"LMUNRLTTPLM647S",0.01,0.0432094834698681,0.0472454316305092,0.0554471778870024
"LMUNRRTTPLM156S",0.01,0.281066522373416,0.01,0.038615073733751
"LFHUTTTTPLM647S",0.01,0.01,0.10563264738996,0.01
"NBPLBIS",0.01,0.01,0.01,0.01
"CCUSMA02PLM661N",0.01,0.01,0.01,0.01
"RBPLBIS",0.01,0.01,0.01,0.01
"CCRETT01PLM661N",0.01,0.01,0.01,0.01
"CCUSSP01PLM650N",0.0106680492558468,0.01,0.01,0.01
"POLCPHPLA01IXOBM",0.0106680492558468,0.01,0.01,0.01
"CPGRLE01PLM657N",0.01,0.01,0.01,0.01
"IR3TIB01PLM156N",0.01,0.01,0.0335684972927656,0.498547313273013
"IRSTCI01PLM156N",0.01,0.0106680492558468,0.258364906739897,0.0129509985783046
"IRSTCB01PLM156N",0.01,0.0106680492558468,0.258364906739897,0.0129509985783046
"TRESEGPLM052N",0.01,0.01,0.318521717206993,0.01
"BSXRLV02PLM086S",0.0123876365894699,0.01,0.01,0.01
"XTEXVA01PLM657S",0.01,0.01,0.01,0.01
"POLXTEXVA01CXMLM",0.01,0.01,0.01,0.01
"EXP4550",0.01,0.01,0.01,0.01
"XTIMVA01PLM657S",0.01,0.0123876365894699,0.0154922347875435,0.014640922762196
"POLXTIMVA01CXMLM",0.01,0.01,0.01,0.01
"IMP4550",0.01,0.01,0.01,0.01
"poland_WIG20",0.01,0.01,0.01,0.01
