"","1r","2r","3r","4r"
"RUSGDPNQDSMEI",NA,NA,NA,NA
"BSEMFT02RUM460S",NA,NA,NA,NA
"BSCICP02RUM460S",NA,NA,NA,NA
"BSCICP03RUM665S",NA,NA,NA,NA
"BSFGLV02RUM460S",1,NA,1,1
"BSOBLV02RUM460S",NA,NA,NA,NA
"BSOITE02RUM460S",1,NA,1,1
"BSPRFT02RUM460S",1,NA,1,1
"BSPRTE02RUM460S",NA,1,NA,NA
"BSSPFT02RUM460S",1,NA,1,1
"RUSPPDMMINMEI",NA,NA,NA,NA
"RUSPIEAMP02GPM",NA,NA,NA,NA
"PIEAMP02RUM659N",1,NA,1,1
"RUSPROMANMISMEI",NA,1,NA,NA
"RUSPRMNTO01GPSAM",NA,NA,NA,NA
"RUSLOCOBPNOSTSAM",NA,NA,NA,NA
"RUSLOCOBPORSTM",NA,1,NA,NA
"RUSPRENTO01IXOBSAM",NA,NA,NA,NA
"RUSPRINTO01GPSAM",NA,NA,NA,NA
"RUSPRMITO01IXOBSAM",NA,NA,NA,NA
"LMUNRLTTRUM647S",NA,NA,NA,NA
"LMUNRRTTRUM156S",1,NA,1,1
"LRUN74TTRUM156N",1,NA,1,1
"NBRUBIS",NA,NA,NA,NA
"CCUSMA02RUM618N",NA,NA,1,1
"CCUSSP02RUM650N",NA,NA,NA,NA
"RBRUBIS",NA,NA,NA,NA
"CCRETT01RUM661N",NA,NA,NA,NA
"IR3TIB01RUM156N",1,NA,1,1
"TRESEGRUM052N",1,NA,1,1
"XTEXVA01RUM657S",NA,NA,NA,NA
"RUSXTEXVA01NCMLM",NA,NA,NA,NA
"RUSLOCOBXNOSTSAM",1,NA,1,1
"XTEITT01RUM156S",1,NA,1,1
"EXP4621",NA,NA,NA,NA
"XTIMVA01RUM657S",1,NA,1,1
"RUSXTIMVA01NCMLM",NA,NA,NA,NA
"IMP4621",NA,NA,1,1
"russia_MOEX",NA,NA,NA,NA
"russia_RTSI.x",NA,NA,NA,NA
"russia_RTSI.y",NA,NA,NA,NA
