"","1r","2r","3r","4r"
"RUSGDPNQDSMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"BSEMFT02RUM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02RUM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03RUM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02RUM460S",NA,"Estacionario",NA,NA
"BSOBLV02RUM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOITE02RUM460S",NA,"Estacionario",NA,NA
"BSPRFT02RUM460S",NA,"Estacionario",NA,NA
"BSPRTE02RUM460S","Estacionario",NA,"Estacionario","Estacionario"
"BSSPFT02RUM460S",NA,"Estacionario",NA,NA
"RUSPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"RUSPIEAMP02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02RUM659N",NA,"Estacionario",NA,NA
"RUSPROMANMISMEI","Estacionario",NA,"Estacionario","Estacionario"
"RUSPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"RUSLOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"RUSLOCOBPORSTM","Estacionario",NA,"Estacionario","Estacionario"
"RUSPRENTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"RUSPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"RUSPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRLTTRUM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRRTTRUM156S",NA,"Estacionario",NA,NA
"LRUN74TTRUM156N",NA,"Estacionario",NA,NA
"NBRUBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02RUM618N","Estacionario","Estacionario",NA,NA
"CCUSSP02RUM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBRUBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01RUM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01RUM156N",NA,"Estacionario",NA,NA
"TRESEGRUM052N",NA,"Estacionario",NA,NA
"XTEXVA01RUM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"RUSXTEXVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"RUSLOCOBXNOSTSAM",NA,"Estacionario",NA,NA
"XTEITT01RUM156S",NA,"Estacionario",NA,NA
"EXP4621","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01RUM657S",NA,"Estacionario",NA,NA
"RUSXTIMVA01NCMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP4621","Estacionario","Estacionario",NA,NA
"russia_MOEX","Estacionario","Estacionario","Estacionario","Estacionario"
"russia_RTSI.x","Estacionario","Estacionario","Estacionario","Estacionario"
"russia_RTSI.y","Estacionario","Estacionario","Estacionario","Estacionario"
