"","1r","2r","3r","4r"
"RUSGDPNQDSMEI",0.0332020962657204,0.0332020962657204,0.030940073363951,0.036316226022468
"BSEMFT02RUM460S",0.0304720656733283,0.0304720656733283,0.0309842759534516,0.0346209578437261
"BSCICP02RUM460S",0.0163965842405019,0.0163965842405019,0.0181956285345718,0.0213363295918099
"BSCICP03RUM665S",0.01,0.01,0.01,0.0100850546972789
"BSFGLV02RUM460S",0.0241697369179129,0.0241697369179129,0.0765025975200136,0.0309933988759886
"BSOBLV02RUM460S",0.0416675479776965,0.0416675479776965,0.0411232524806339,0.0389275131045961
"BSOITE02RUM460S",0.0226467718644252,0.0226467718644252,0.116406043339212,0.0245992115928977
"BSPRFT02RUM460S",0.01,0.01,0.18066394025395,0.01
"BSPRTE02RUM460S",0.0200205463355062,0.0522404150362456,0.0214271105145448,0.0563000653231996
"BSSPFT02RUM460S",0.01,0.01,0.486593440881963,0.01
"RUSPPDMMINMEI",0.014821020783025,0.014821020783025,0.0126891863894738,0.0174504655361358
"RUSPIEAMP02GPM",0.0196209897858031,0.0196209897858031,0.0217880772131131,0.0231813481958884
"PIEAMP02RUM659N",0.0219499782513123,0.0219499782513123,0.0979740698271677,0.0261777799597739
"RUSPROMANMISMEI",0.01,0.0500154920021588,0.01,0.0488116240908679
"RUSPRMNTO01GPSAM",0.0224665581037427,0.0224665581037427,0.0226713593714277,0.0250539140213878
"RUSLOCOBPNOSTSAM",0.033702706507474,0.033702706507474,0.0365966903858935,0.0393200795863831
"RUSLOCOBPORSTM",0.0200205463355062,0.0522404150362456,0.0214271105145448,0.0563000653231996
"RUSPRENTO01IXOBSAM",0.01,0.01,0.01,0.01
"RUSPRINTO01GPSAM",0.0198400363640084,0.0198400363640084,0.0179889876686754,0.0200717136356209
"RUSPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"LMUNRLTTRUM647S",0.0129029448471744,0.0129029448471744,0.0145134586781589,0.0160680320559946
"LMUNRRTTRUM156S",0.0277086610088013,0.0277086610088013,0.921558187929435,0.0280440087994165
"LRUN74TTRUM156N",0.01,0.01,0.129453613990623,0.01
"NBRUBIS",0.0266262580622746,0.0266262580622746,0.0295557430868688,0.0324877733143916
"CCUSMA02RUM618N",0.0496011872726039,0.0496011872726039,0.052278399300149,0.01
"CCUSSP02RUM650N",0.0354210281093893,0.0354210281093893,0.0367273574298581,0.0390617899585677
"RBRUBIS",0.0137856962796438,0.0137856962796438,0.0152183833637937,0.0172355812173712
"CCRETT01RUM661N",0.0109988301934554,0.0109988301934554,0.0123734499942849,0.014618922117212
"IR3TIB01RUM156N",0.0142068646326348,0.0142068646326348,0.231494546992972,0.0152859893233449
"TRESEGRUM052N",0.01,0.01,0.404363952994279,0.01
"XTEXVA01RUM657S",0.0472677001508877,0.0472677001508877,0.0492731763503274,0.0432632742575249
"RUSXTEXVA01NCMLM",0.0210637235490206,0.0210637235490206,0.0216882226821744,0.0222904368716473
"RUSLOCOBXNOSTSAM",0.01,0.01,0.0669552427900469,0.01
"XTEITT01RUM156S",0.01,0.01,0.110717345605543,0.01
"EXP4621",0.0140600415790141,0.0140600415790141,0.0148382174541318,0.0158290411785779
"XTIMVA01RUM657S",0.01,0.01,0.0664722716899901,0.01
"RUSXTIMVA01NCMLM",0.02117154547572,0.02117154547572,0.022645329298586,0.0241092197857186
"IMP4621",0.0255108316485036,0.0255108316485036,0.0617521384691388,0.01
"russia_MOEX",0.01,0.01,0.01,0.0113960788971619
"russia_RTSI.x",0.01,0.01,0.01,0.01
"russia_RTSI.y",0.01,0.01,0.01,0.01
