"","1r","2r","3r","4r"
"CPMNACSCAB1GQES",1,NA,1,1
"ESPBRODFT02STSAM",1,NA,1,1
"BCEMFT02ESM460S",1,NA,1,1
"BSEMFT02ESM460S",1,NA,1,1
"BVEMFT02ESM460S",1,NA,1,1
"BVEMTE02ESM460S",1,NA,1,1
"CP0410ESM086NEST",NA,NA,NA,NA
"CP0500ESM086NEST",1,NA,1,1
"CP0400ESM086NEST",1,NA,1,1
"CP1252ESM086NEST",NA,NA,NA,NA
"CP0430ESM086NEST",NA,NA,NA,NA
"CP0431ESM086NEST",1,NA,1,1
"X00XHOUESM086NEST",NA,NA,NA,NA
"CP0432ESM086NEST",NA,NA,NA,NA
"CP0550ESM086NEST",NA,NA,NA,NA
"CP0440ESM086NEST",NA,NA,NA,NA
"ESPPERMITMISMEI",1,NA,1,1
"BSCICP02ESM460S",1,NA,1,1
"BSCICP03ESM665S",NA,NA,NA,NA
"BSFGLV02ESM460S",NA,NA,NA,NA
"BSOBLV02ESM460S",1,NA,1,1
"BSPRFT02ESM460S",1,NA,1,1
"BSPRTE02ESM460S",1,NA,1,1
"BSSPFT02ESM460S",1,NA,1,1
"ESPPPDMMINMEI",NA,NA,NA,NA
"PIEAMP02ESM659N",1,NA,1,1
"ESPPIEAMP02GPM",NA,NA,NA,NA
"ESPPROMANMISMEI",NA,NA,NA,NA
"ESPPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611ESM086NEST",NA,NA,NA,NA
"ESPPROCONMISMEI",1,NA,1,1
"ESPPRCNTO01GPSAM",1,NA,1,1
"ESPPREND401IXOBSAM",NA,NA,NA,NA
"ESPPRINTO01GPSAM",NA,NA,NA,NA
"ESPPRMITO01IXOBSAM",NA,NA,NA,NA
"BVCICP02ESM460S",1,NA,1,1
"BVDEFT02ESM460S",1,NA,1,1
"BVDETE02ESM460S",1,NA,1,1
"ESPCPHP1200GPM",NA,NA,NA,NA
"ESPCPHPSE01IXOBM",1,NA,1,1
"ESPCPGRLH02IXOBM",NA,NA,NA,NA
"ESPCPGRSE01IXOBM",NA,NA,NA,NA
"CP1120ESM086NEST",NA,NA,NA,NA
"CP0562ESM086NEST",NA,NA,NA,NA
"CP1260ESM086NEST",NA,1,NA,NA
"CP0621ESM086NEST",NA,NA,NA,NA
"CP1200ESM086NEST",NA,NA,NA,NA
"SERVCOESM086NEST",NA,NA,NA,NA
"SERVRPESM086NEST",NA,NA,NA,NA
"SERVTRESM086NEST",NA,NA,NA,NA
"SERVMIESM086NEST",NA,NA,NA,NA
"CP0730ESM086NEST",NA,NA,NA,NA
"LRHUTTTTESM156S",1,1,NA,NA
"LMUNRLTTESM647S",1,NA,1,1
"LFHUTTTTESM647S",1,NA,1,1
"NBESBIS",NA,NA,NA,NA
"NNESBIS",NA,NA,NA,NA
"CCUSMA02ESM661N",NA,NA,NA,NA
"RBESBIS",NA,NA,NA,NA
"CCRETT01ESM661N",NA,NA,NA,NA
"RNESBIS",NA,NA,NA,NA
"CCUSSP01ESM650N",NA,NA,NA,NA
"CSINFT02ESM460S",1,NA,1,1
"ESPCPHPLA01IXOBM",1,NA,1,1
"CPGRLE01ESM657N",NA,NA,NA,NA
"IR3TIB01ESM156N",1,NA,1,1
"IRSTCI01ESM156N",1,NA,1,1
"INTGSBESM193N",1,1,NA,NA
"INTGSTESM193N",NA,NA,NA,NA
"IRLTLT01ESM156N",1,1,NA,NA
"TRESEGESM052N",NA,NA,NA,NA
"BSXRLV02ESM086S",NA,NA,NA,NA
"XTEXVA01ESM657S",NA,NA,NA,NA
"ESPXTEXVA01CXMLM",NA,NA,NA,NA
"EXP4700",NA,NA,NA,NA
"XTIMVA01ESM657S",NA,NA,NA,NA
"ESPXTIMVA01CXMLM",1,NA,1,1
"IMP4700",NA,NA,NA,NA
"IBEX",NA,NA,NA,NA
