"","1r","2r","3r","4r"
"CPMNACSCAB1GQES",NA,"Estacionario",NA,NA
"ESPBRODFT02STSAM",NA,"Estacionario",NA,NA
"BCEMFT02ESM460S",NA,"Estacionario",NA,NA
"BSEMFT02ESM460S",NA,"Estacionario",NA,NA
"BVEMFT02ESM460S",NA,"Estacionario",NA,NA
"BVEMTE02ESM460S",NA,"Estacionario",NA,NA
"CP0410ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0500ESM086NEST",NA,"Estacionario",NA,NA
"CP0400ESM086NEST",NA,"Estacionario",NA,NA
"CP1252ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431ESM086NEST",NA,"Estacionario",NA,NA
"X00XHOUESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0432ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0440ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPPERMITMISMEI",NA,"Estacionario",NA,NA
"BSCICP02ESM460S",NA,"Estacionario",NA,NA
"BSCICP03ESM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02ESM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02ESM460S",NA,"Estacionario",NA,NA
"BSPRFT02ESM460S",NA,"Estacionario",NA,NA
"BSPRTE02ESM460S",NA,"Estacionario",NA,NA
"BSSPFT02ESM460S",NA,"Estacionario",NA,NA
"ESPPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02ESM659N",NA,"Estacionario",NA,NA
"ESPPIEAMP02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPPROCONMISMEI",NA,"Estacionario",NA,NA
"ESPPRCNTO01GPSAM",NA,"Estacionario",NA,NA
"ESPPREND401IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BVCICP02ESM460S",NA,"Estacionario",NA,NA
"BVDEFT02ESM460S",NA,"Estacionario",NA,NA
"BVDETE02ESM460S",NA,"Estacionario",NA,NA
"ESPCPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPCPHPSE01IXOBM",NA,"Estacionario",NA,NA
"ESPCPGRLH02IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPCPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1120ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0562ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1260ESM086NEST","Estacionario",NA,"Estacionario","Estacionario"
"CP0621ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVCOESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVRPESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVTRESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMIESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730ESM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTESM156S",NA,NA,"Estacionario","Estacionario"
"LMUNRLTTESM647S",NA,"Estacionario",NA,NA
"LFHUTTTTESM647S",NA,"Estacionario",NA,NA
"NBESBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNESBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02ESM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBESBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01ESM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNESBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01ESM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CSINFT02ESM460S",NA,"Estacionario",NA,NA
"ESPCPHPLA01IXOBM",NA,"Estacionario",NA,NA
"CPGRLE01ESM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01ESM156N",NA,"Estacionario",NA,NA
"IRSTCI01ESM156N",NA,"Estacionario",NA,NA
"INTGSBESM193N",NA,NA,"Estacionario","Estacionario"
"INTGSTESM193N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLTLT01ESM156N",NA,NA,"Estacionario","Estacionario"
"TRESEGESM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"BSXRLV02ESM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01ESM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4700","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01ESM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"ESPXTIMVA01CXMLM",NA,"Estacionario",NA,NA
"IMP4700","Estacionario","Estacionario","Estacionario","Estacionario"
"IBEX","Estacionario","Estacionario","Estacionario","Estacionario"
