"","1r","2r","3r","4r"
"CPMNACSCAB1GQES",0.01,0.01,0.242877250878933,0.01
"ESPBRODFT02STSAM",0.01,0.01,0.508540696141911,0.0107868329034687
"BCEMFT02ESM460S",0.01,0.01,0.591753954312694,0.01
"BSEMFT02ESM460S",0.01,0.01,0.220110333364905,0.01
"BVEMFT02ESM460S",0.01,0.01,0.478194239994185,0.0147378917861542
"BVEMTE02ESM460S",0.01,0.01,0.509714094394965,0.01
"CP0410ESM086NEST",0.01,0.01,0.01,0.01
"CP0500ESM086NEST",0.01,0.01,0.146564877341556,0.01
"CP0400ESM086NEST",0.0167218801228567,0.0167218801228567,0.820646414873784,0.018845919169062
"CP1252ESM086NEST",0.01,0.01,0.01,0.01
"CP0430ESM086NEST",0.0133174987230487,0.0133174987230487,0.0146019513037096,0.0158858158988455
"CP0431ESM086NEST",0.01,0.01,0.0652747524815168,0.0106067068561266
"X00XHOUESM086NEST",0.0133036194881554,0.0133036194881554,0.0143333036382044,0.015402875020012
"CP0432ESM086NEST",0.0280504709127858,0.0280504709127858,0.0296990338780323,0.0314406116663947
"CP0550ESM086NEST",0.01,0.01,0.01,0.01
"CP0440ESM086NEST",0.01,0.01,0.01,0.01
"ESPPERMITMISMEI",0.01,0.01,0.350092571428548,0.01
"BSCICP02ESM460S",0.01,0.01,0.318982389529226,0.01
"BSCICP03ESM665S",0.01,0.01,0.01,0.01
"BSFGLV02ESM460S",0.0441388092127552,0.0441388092127552,0.0372744705947799,0.0334096067769454
"BSOBLV02ESM460S",0.0251448709382655,0.0251448709382655,0.396393388215719,0.0265680982660592
"BSPRFT02ESM460S",0.01,0.01,0.399526453085623,0.01
"BSPRTE02ESM460S",0.01,0.01,0.0877196028998282,0.01
"BSSPFT02ESM460S",0.0237687071711248,0.0237687071711248,0.481070400843329,0.0231469124722526
"ESPPPDMMINMEI",0.01,0.01,0.01,0.01
"PIEAMP02ESM659N",0.0170957212398878,0.0170957212398878,0.504397958202247,0.0167705600112575
"ESPPIEAMP02GPM",0.01,0.01,0.01,0.01
"ESPPROMANMISMEI",0.01,0.01,0.01,0.01
"ESPPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"CP0611ESM086NEST",0.0145651223250976,0.0145651223250976,0.0157314389521093,0.0168653322660732
"ESPPROCONMISMEI",0.01,0.01,0.44568156685248,0.01
"ESPPRCNTO01GPSAM",0.01,0.01,0.0942199422890322,0.01
"ESPPREND401IXOBSAM",0.01,0.01,0.01,0.01
"ESPPRINTO01GPSAM",0.0423341732218423,0.0423341732218423,0.0452865032491157,0.0480314834168668
"ESPPRMITO01IXOBSAM",0.0153298149517366,0.0153298149517366,0.0155411461231469,0.0168855026935363
"BVCICP02ESM460S",0.01,0.01,0.55954265826642,0.01
"BVDEFT02ESM460S",0.01,0.01,0.560489496233593,0.01
"BVDETE02ESM460S",0.01,0.01,0.553937928087892,0.01
"ESPCPHP1200GPM",0.01,0.01,0.01,0.01
"ESPCPHPSE01IXOBM",0.01,0.01,0.561977556842071,0.01
"ESPCPGRLH02IXOBM",0.01,0.01,0.01,0.01
"ESPCPGRSE01IXOBM",0.01,0.01,0.01,0.01
"CP1120ESM086NEST",0.01,0.01,0.01,0.01
"CP0562ESM086NEST",0.0110655132462344,0.0110655132462344,0.0120954271516813,0.0136425091435598
"CP1260ESM086NEST",0.01,0.0510448388527331,0.01,0.0223915664984752
"CP0621ESM086NEST",0.01,0.01,0.01,0.01
