"","1r","2r","3r","4r"
"CPMNACSCAB1GQSE",NA,NA,NA,NA
"SWEBRODFT02STSAM",NA,NA,NA,NA
"BCEMFT02SEM460S",NA,NA,NA,NA
"BSEMFT02SEM460S",NA,NA,NA,NA
"BVEMFT02SEM460S",NA,NA,NA,NA
"BVEMTE02SEM460S",NA,NA,NA,NA
"CP0410SEM086NEST",NA,NA,NA,NA
"CP0500SEM086NEST",NA,NA,NA,NA
"CP0400SEM086NEST",NA,NA,NA,NA
"CP1252SEM086NEST",NA,NA,NA,NA
"CP0430SEM086NEST",NA,NA,NA,NA
"CP0431SEM086NEST",NA,NA,NA,NA
"CP0444SEM086NEST",NA,NA,NA,NA
"X00XHOUSEM086NEST",NA,NA,NA,NA
"SERVHOSEM086NEST",NA,NA,NA,NA
"CP0550SEM086NEST",1,NA,1,1
"CP0440SEM086NEST",NA,NA,NA,NA
"SWEPERMITMISMEI",NA,NA,NA,NA
"BSCICP02SEM460S",NA,NA,NA,NA
"BSCICP03SEM665S",NA,NA,NA,NA
"BSFGLV02SEM460S",NA,NA,NA,NA
"BSOBLV02SEM460S",1,NA,1,1
"BSPRFT02SEM460S",NA,NA,NA,NA
"BSPRTE02SEM460S",NA,NA,NA,NA
"BSSPFT02SEM460S",1,NA,1,1
"SWEPPDMMINMEI",1,NA,1,1
"LCEAMM01SEM661N",NA,NA,NA,NA
"LCEAMN01SEM657S",NA,NA,NA,NA
"SWEODMNTO02IXOBM",NA,NA,NA,NA
"SWEODMNTO01IXOBSAM",NA,NA,NA,NA
"SWEPIEAMP02GPM",1,NA,1,1
"SWEPIEAMP01GPM",1,NA,1,1
"PIEAMP01SEM661N",1,NA,1,1
"SWEPROMANMISMEI",NA,NA,NA,NA
"SWEPRMNTO01GPSAM",NA,NA,NA,NA
"SWESLMNTO02IXOBM",1,NA,1,1
"LCLCMM01SEM661N",NA,NA,NA,NA
"CP0611SEM086NEST",NA,NA,NA,NA
"SWEPROCONMISMEI",NA,NA,NA,NA
"SWEPRINTO01GPSAM",NA,NA,NA,NA
"BVCICP02SEM460S",NA,NA,NA,NA
"BVDEFT02SEM460S",NA,NA,NA,NA
"BVDETE02SEM460S",NA,NA,NA,NA
"SWECPHP1200GPM",NA,NA,NA,NA
"SWECPHPSE01IXOBM",NA,NA,NA,NA
"SWECP040400IXOBM",NA,NA,NA,NA
"SWECP120000GPM",NA,NA,NA,NA
"CP1120SEM086NEST",NA,NA,NA,NA
"CP1260SEM086NEST",NA,NA,NA,NA
"CP0621SEM086NEST",NA,NA,NA,NA
"CP1200SEM086NEST",NA,NA,NA,NA
"SERV00SEM086NEST",NA,NA,NA,NA
"SERVCOSEM086NEST",NA,NA,NA,NA
"SERVRPSEM086NEST",NA,NA,NA,NA
"SERVTRSEM086NEST",NA,NA,NA,NA
"SERVMISEM086NEST",NA,NA,NA,NA
"CP0730SEM086NEST",NA,NA,NA,NA
"LRHUTTTTSEM156S",1,NA,1,1
"LMUNRLTTSEM647S",NA,NA,NA,NA
"LFHUTTTTSEM647S",NA,NA,NA,NA
"NBSEBIS",NA,NA,NA,NA
"NNSEBIS",NA,NA,NA,NA
"CCUSMA02SEM661N",NA,NA,NA,NA
"RBSEBIS",NA,NA,NA,NA
"CCRETT01SEM661N",NA,NA,NA,NA
"RNSEBIS",NA,NA,NA,NA
"EXSDUS",NA,NA,NA,NA
"CCUSSP01SEM650N",NA,NA,NA,NA
"CSINFT02SEM460S",NA,NA,NA,NA
"SWECPHPLA01IXOBM",NA,NA,NA,NA
"CPGRLE01SEM657N",1,NA,1,1
"IR3TIB01SEM156N",1,NA,1,1
"IR3TTS01SEM156N",1,NA,1,1
"IRLTLT01SEM156N",1,NA,1,1
"IRLTMT01SEM156N",1,NA,1,1
"BSXRLV02SEM086S",NA,NA,NA,NA
"XTEXVA01SEM657S",NA,NA,NA,NA
"SWEXTEXVA01CXMLM",NA,NA,NA,NA
"EXP4010",1,NA,1,1
"XTIMVA01SEM657S",NA,NA,NA,NA
"SWEXTIMVA01CXMLM",NA,NA,NA,NA
"IMP4010",NA,NA,NA,NA
"sweden_OMX",NA,NA,NA,NA
"sweden_OMX30",NA,NA,NA,NA
