"","1r","2r","3r","4r"
"CPMNACSCAB1GQSE","Estacionario","Estacionario","Estacionario","Estacionario"
"SWEBRODFT02STSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BCEMFT02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSEMFT02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMFT02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVEMTE02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0410SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0500SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0400SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1252SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0431SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0444SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"X00XHOUSEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVHOSEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0550SEM086NEST",NA,"Estacionario",NA,NA
"CP0440SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SWEPERMITMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03SEM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02SEM460S",NA,"Estacionario",NA,NA
"BSPRFT02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSSPFT02SEM460S",NA,"Estacionario",NA,NA
"SWEPPDMMINMEI",NA,"Estacionario",NA,NA
"LCEAMM01SEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN01SEM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"SWEODMNTO02IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"SWEODMNTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"SWEPIEAMP02GPM",NA,"Estacionario",NA,NA
"SWEPIEAMP01GPM",NA,"Estacionario",NA,NA
"PIEAMP01SEM661N",NA,"Estacionario",NA,NA
"SWEPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"SWEPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"SWESLMNTO02IXOBM",NA,"Estacionario",NA,NA
"LCLCMM01SEM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611SEM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SWEPROCONMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"SWEPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BVCICP02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDEFT02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BVDETE02SEM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"SWECPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"SWECPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"SWECP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"SWECP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
