"","1r","2r","3r","4r"
"CPMNACSCAB1GQSE",0.0101770339711206,0.0103127967477713,0.0129117748919915,0.0148424311662187
"SWEBRODFT02STSAM",0.01,0.01,0.01,0.01
"BCEMFT02SEM460S",0.01,0.01,0.01,0.01
"BSEMFT02SEM460S",0.01,0.01,0.01,0.01
"BVEMFT02SEM460S",0.01,0.01,0.01,0.0193311582864677
"BVEMTE02SEM460S",0.01,0.0115336428689596,0.0233091309111453,0.0219324915783451
"CP0410SEM086NEST",0.01,0.01,0.0225625311703573,0.0490853057666488
"CP0500SEM086NEST",0.0246692464738957,0.0249127110335755,0.0271710891244699,0.0304295480503954
"CP0400SEM086NEST",0.01,0.01,0.01,0.01
"CP1252SEM086NEST",0.01,0.01,0.0160700777286143,0.0173855966305281
"CP0430SEM086NEST",0.01,0.01,0.01,0.01
"CP0431SEM086NEST",0.01,0.01,0.01,0.01
"CP0444SEM086NEST",0.01,0.01,0.01,0.01
"X00XHOUSEM086NEST",0.0106218043101724,0.0123314973458725,0.013644590375784,0.0149761677878033
"SERVHOSEM086NEST",0.01,0.01,0.0488897402069468,0.0728042485921146
"CP0550SEM086NEST",0.553061843932962,0.01,0.561977615975658,0.01
"CP0440SEM086NEST",0.01,0.01,0.01,0.01
"SWEPERMITMISMEI",0.01,0.0174411301849305,0.0189995518985837,0.0190855938804859
"BSCICP02SEM460S",0.01,0.01,0.01,0.01
"BSCICP03SEM665S",0.01,0.01,0.01,0.01
"BSFGLV02SEM460S",0.01,0.01,0.01,0.01
"BSOBLV02SEM460S",0.0802428461113588,0.01,0.0728651485835403,0.01
"BSPRFT02SEM460S",0.01,0.01,0.01,0.01
"BSPRTE02SEM460S",0.01,0.01,0.01,0.01
"BSSPFT02SEM460S",0.148401298611858,0.01,0.192039684801877,0.01
"SWEPPDMMINMEI",0.597269940488324,0.01,0.576185912088961,0.01
"LCEAMM01SEM661N",0.01,0.01,0.01,0.01
"LCEAMN01SEM657S",0.01,0.01,0.01,0.01
"SWEODMNTO02IXOBM",0.0104047249686903,0.01152316052054,0.0126358386195745,0.0137424624901542
"SWEODMNTO01IXOBSAM",0.01,0.01,0.01,0.01
"SWEPIEAMP02GPM",0.137233362068298,0.01,0.150443636897153,0.01
"SWEPIEAMP01GPM",0.0944115377015224,0.01,0.10428442105191,0.01
"PIEAMP01SEM661N",0.526645963296631,0.01,0.519855948907716,0.01
"SWEPROMANMISMEI",0.01,0.01,0.01,0.01
"SWEPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"SWESLMNTO02IXOBM",0.0534158727990759,0.01,0.0582659228289031,0.01
"LCLCMM01SEM661N",0.01,0.01,0.01,0.01
"CP0611SEM086NEST",0.0225612375561205,0.021499577070726,0.0275259444284512,0.0236700910215512
"SWEPROCONMISMEI",0.0322638755705197,0.0334218669074459,0.0355307568930985,0.0387591953380871
"SWEPRINTO01GPSAM",0.01,0.01,0.01,0.01
"BVCICP02SEM460S",0.01,0.0307893823949357,0.0319547970742544,0.0326210552627275
"BVDEFT02SEM460S",0.01,0.01,0.01,0.01
"BVDETE02SEM460S",0.01,0.0152950241062402,0.0171699115930626,0.0181704516974948
"SWECPHP1200GPM",0.01,0.01,0.01,0.01
"SWECPHPSE01IXOBM",0.01,0.01,0.01,0.01
