"","1r","2r","3r","4r"
"CPMNACSCAB1GQCH",NA,NA,NA,NA
"CHEBRODFT02STSAM",NA,NA,NA,NA
"CHELOCOBDNOSTSAM",NA,NA,NA,NA
"CHELOCOBDORSTSAM",NA,NA,NA,NA
"BCEMFT02CHM460S",NA,NA,NA,NA
"BSCICP02CHM460S",NA,NA,NA,NA
"BSCICP03CHM665S",NA,NA,NA,NA
"BSFGLV02CHM460S",NA,NA,NA,NA
"BSOBLV02CHM460S",1,NA,1,1
"BSOITE02CHM460S",NA,NA,NA,NA
"BSPRFT02CHM460S",NA,NA,NA,NA
"BSPRTE02CHM460S",NA,NA,NA,NA
"CHELOCOBPNOSTSAM",NA,NA,NA,NA
"CHELOCOBPORSTSAM",NA,NA,NA,NA
"CHECP120000IXOBM",1,NA,1,1
"CHECPGRLH01IXOBM",1,1,1,1
"CHECPGRSE01IXOBM",NA,NA,NA,NA
"LMUNRLTTCHM647S",NA,NA,NA,NA
"LMUNRRTTCHM156S",NA,NA,NA,NA
"NBCHBIS",NA,NA,NA,NA
"NNCHBIS",NA,NA,NA,NA
"CCUSMA02CHM661N",NA,NA,NA,NA
"RBCHBIS",NA,NA,NA,NA
"CCRETT01CHM661N",NA,NA,NA,NA
"RNCHBIS",NA,NA,NA,NA
"EXSZUS",NA,NA,NA,NA
"CCUSSP01CHM650N",NA,NA,NA,NA
"CPGRLE01CHM657N",NA,NA,NA,NA
"IR3TED01CHM156N",NA,NA,NA,NA
"IR3TIB01CHM156N",NA,NA,NA,NA
"IRSTCI01CHM156N",NA,NA,NA,NA
"IRLTLT01CHM156N",1,NA,1,1
"BSXRLV02CHM086S",1,1,1,1
"XTEXVA01CHM657S",NA,NA,NA,NA
"CHEXTEXVA01CXMLM",NA,NA,NA,NA
"EXP4419",NA,NA,NA,NA
"XTIMVA01CHM657S",NA,NA,NA,NA
"CHEXTIMVA01CXMLM",NA,NA,NA,NA
"IMP4419",NA,NA,NA,NA
"SSMI",NA,NA,NA,NA
