"","1r","2r","3r","4r"
"CPMNACSCAB1GQCH","Estacionario","Estacionario","Estacionario","Estacionario"
"CHEBRODFT02STSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CHELOCOBDNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CHELOCOBDORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"BCEMFT02CHM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02CHM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03CHM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02CHM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02CHM460S",NA,"Estacionario",NA,NA
"BSOITE02CHM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRFT02CHM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRTE02CHM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"CHELOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CHELOCOBPORSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CHECP120000IXOBM",NA,"Estacionario",NA,NA
"CHECPGRLH01IXOBM",NA,NA,NA,NA
"CHECPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRLTTCHM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRRTTCHM156S","Estacionario","Estacionario","Estacionario","Estacionario"
"NBCHBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"NNCHBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02CHM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBCHBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01CHM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNCHBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"EXSZUS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01CHM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01CHM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TED01CHM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IR3TIB01CHM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRSTCI01CHM156N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRLTLT01CHM156N",NA,"Estacionario",NA,NA
"BSXRLV02CHM086S",NA,NA,NA,NA
"XTEXVA01CHM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"CHEXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4419","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01CHM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"CHEXTIMVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP4419","Estacionario","Estacionario","Estacionario","Estacionario"
"SSMI","Estacionario","Estacionario","Estacionario","Estacionario"
