"","1r","2r","3r","4r"
"CPMNACSCAB1GQCH",0.0257902686792753,0.0257902686792753,0.0244152364988173,0.0286660501998631
"CHEBRODFT02STSAM",0.011665716086173,0.011665716086173,0.01,0.01
"CHELOCOBDNOSTSAM",0.01,0.01,0.01,0.01
"CHELOCOBDORSTSAM",0.01,0.01,0.01,0.01
"BCEMFT02CHM460S",0.01,0.01,0.01,0.01
"BSCICP02CHM460S",0.0317707860840962,0.0317707860840962,0.024815109294372,0.0382904207139333
"BSCICP03CHM665S",0.01,0.01,0.01,0.01
"BSFGLV02CHM460S",0.0223734472935761,0.0223734472935761,0.0206631376488643,0.0135909935103822
"BSOBLV02CHM460S",0.01,0.01,0.0833485495287454,0.01
"BSOITE02CHM460S",0.01,0.01,0.01,0.01
"BSPRFT02CHM460S",0.01,0.01,0.01,0.0122804288590016
"BSPRTE02CHM460S",0.01,0.01,0.01,0.01
"CHELOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"CHELOCOBPORSTSAM",0.01,0.01,0.01,0.0122804288590016
"CHECP120000IXOBM",0.01,0.01,0.0833426378149782,0.01
"CHECPGRLH01IXOBM",0.01,0.988282518024806,0.459698382026858,0.467251138207225
"CHECPGRSE01IXOBM",0.01,0.01,0.01,0.01
"LMUNRLTTCHM647S",0.0381770600142217,0.01,0.01,0.01
"LMUNRRTTCHM156S",0.01,0.0381770600142217,0.0208562991127001,0.01
"NBCHBIS",0.01,0.01,0.01,0.01
"NNCHBIS",0.01,0.01,0.01,0.0121389533350957
"CCUSMA02CHM661N",0.01,0.01,0.01,0.01
"RBCHBIS",0.01,0.01,0.01,0.01
"CCRETT01CHM661N",0.01,0.01,0.01,0.01
"RNCHBIS",0.01,0.01,0.01,0.01
"EXSZUS",0.01,0.01,0.01,0.01
"CCUSSP01CHM650N",0.01,0.01,0.01,0.01
"CPGRLE01CHM657N",0.0219690561819275,0.01,0.01,0.01
"IR3TED01CHM156N",0.0161513171980678,0.0219690561819275,0.038166009048644,0.0311790845697039
"IR3TIB01CHM156N",0.0199143627527352,0.0161513171980678,0.0177834844378117,0.0193371307156667
"IRSTCI01CHM156N",0.01,0.0199143627527352,0.020523567778873,0.0199519494655475
"IRLTLT01CHM156N",0.01,0.01,0.396261756608554,0.01
"BSXRLV02CHM086S",0.01,0.700619603830991,0.214018538861165,0.01
"XTEXVA01CHM657S",0.01,0.01,0.01,0.01
"CHEXTEXVA01CXMLM",0.01,0.01,0.01,0.01
"EXP4419",0.01,0.01,0.01,0.01
"XTIMVA01CHM657S",0.01,0.01,0.01,0.01
"CHEXTIMVA01CXMLM",0.0154977641946245,0.01,0.01,0.01
"IMP4419",0.01,0.01,0.01,0.01
"SSMI",0.0159019979682135,0.0154977641946245,0.0178345002374625,0.0231812331995794
