"","1r","2r","3r","4r"
"NGDPRSAXDCTRQ",NA,NA,NA,NA
"CP0410TRM086NEST",1,NA,1,1
"CP0500TRM086NEST",1,NA,1,1
"CP0400TRM086NEST",NA,NA,NA,NA
"CP0430TRM086NEST",1,NA,1,1
"CP0431TRM086NEST",1,NA,1,1
"X00XHOUTRM086NEST",1,NA,1,1
"SERVHOTRM086NEST",1,NA,1,1
"CP0550TRM086NEST",1,NA,1,1
"CP0440TRM086NEST",NA,NA,NA,NA
"BSCURT02TRM160S",NA,NA,NA,NA
"BSCICP02TRM460S",NA,NA,NA,NA
"BSCICP03TRM665S",NA,NA,NA,NA
"BSFGLV02TRM460S",NA,NA,NA,NA
"BSOBLV02TRM460S",1,NA,1,1
"BSOITE02TRM460S",NA,NA,NA,NA
"BSPRFT02TRM460S",NA,NA,NA,NA
"TURPPDMMINMEI",NA,NA,NA,NA
"PIEAFD02TRM661N",1,NA,1,1
"PIEAMP02TRM659N",1,1,NA,NA
"TURPIEAFD02GPM",1,NA,1,1
"TURPIEAMP02GPM",NA,NA,NA,NA
"TURPROMANMISMEI",NA,NA,NA,NA
"TURPRMNTO01GPSAM",NA,NA,NA,NA
"CP0611TRM086NEST",NA,NA,NA,NA
"TURLOCOPENOSTSAM",NA,NA,NA,NA
"TURLOCOPEORMLSAM",NA,NA,NA,NA
"TURPRCNBD01MLM",NA,NA,NA,NA
"TURPRENEL01MLSAM",NA,NA,NA,NA
"TURPREND401IXEBSAM",NA,NA,NA,NA
"TURPRENTO01IXOBSAM",NA,NA,NA,NA
"TURPRINTO01GPSAM",NA,NA,NA,NA
"TURPRMITO01IXOBSAM",NA,NA,NA,NA
"TURCPHP1200GPM",NA,NA,NA,NA
"TURCPHPSE01IXOBM",1,NA,1,1
"TURCPGRLH02IXOBM",1,NA,1,1
"CP1120TRM086NEST",NA,NA,NA,NA
"CP0562TRM086NEST",1,NA,NA,NA
"CP0630TRM086NEST",NA,NA,NA,NA
"CP0621TRM086NEST",NA,NA,NA,NA
"CP1200TRM086NEST",NA,NA,NA,NA
"SERV00TRM086NEST",1,NA,1,1
"SERVCOTRM086NEST",1,NA,1,1
"SERVRPTRM086NEST",1,NA,1,1
"SERVTRTRM086NEST",NA,NA,NA,NA
"SERVMITRM086NEST",NA,NA,NA,NA
"CP0730TRM086NEST",NA,NA,NA,NA
"LMUNRLTTTRM647S",NA,NA,NA,NA
"NBTRBIS",1,NA,1,1
"CCUSMA02TRM661N",1,NA,1,1
"RBTRBIS",NA,NA,NA,NA
"CCUSSP01TRM650N",1,NA,1,1
"TURCPHPLA01IXOBM",1,NA,1,1
"CPGRLE01TRM657N",NA,NA,NA,NA
"IRSTCI01TRM156N",1,NA,1,1
"INTDSRTRM193N",1,NA,1,1
"TRESEGTRM052N",NA,NA,NA,NA
"XTEXVA01TRM657S",NA,NA,NA,NA
"TURXTEXVA01CXMLM",NA,NA,NA,NA
"TURLOCOTXNOSTSAM",NA,NA,NA,NA
"TURLOCOTXORSTM",NA,NA,NA,NA
"EXP4890",NA,NA,NA,NA
"XTIMVA01TRM657S",NA,NA,NA,NA
"TURXTIMVA01CXMLM",1,NA,NA,NA
"TURLOCOMGNOSTSAM",NA,NA,NA,NA
"TURLOCOMGORCXMLSAM",NA,NA,NA,NA
"IMP4890",NA,NA,NA,NA
"XU100.IS",NA,NA,NA,NA
"XU030.IS",NA,NA,NA,NA
