"","1r","2r","3r","4r"
"NGDPRSAXDCTRQ","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0410TRM086NEST",NA,"Estacionario",NA,NA
"CP0500TRM086NEST",NA,"Estacionario",NA,NA
"CP0400TRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0430TRM086NEST",NA,"Estacionario",NA,NA
"CP0431TRM086NEST",NA,"Estacionario",NA,NA
"X00XHOUTRM086NEST",NA,"Estacionario",NA,NA
"SERVHOTRM086NEST",NA,"Estacionario",NA,NA
"CP0550TRM086NEST",NA,"Estacionario",NA,NA
"CP0440TRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCURT02TRM160S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02TRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03TRM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSFGLV02TRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSOBLV02TRM460S",NA,"Estacionario",NA,NA
"BSOITE02TRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSPRFT02TRM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPPDMMINMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAFD02TRM661N",NA,"Estacionario",NA,NA
"PIEAMP02TRM659N",NA,NA,"Estacionario","Estacionario"
"TURPIEAFD02GPM",NA,"Estacionario",NA,NA
"TURPIEAMP02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0611TRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"TURLOCOPENOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURLOCOPEORMLSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPRCNBD01MLM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPRENEL01MLSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPREND401IXEBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPRENTO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURCPHP1200GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURCPHPSE01IXOBM",NA,"Estacionario",NA,NA
"TURCPGRLH02IXOBM",NA,"Estacionario",NA,NA
"CP1120TRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0562TRM086NEST",NA,"Estacionario","Estacionario","Estacionario"
"CP0630TRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0621TRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP1200TRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERV00TRM086NEST",NA,"Estacionario",NA,NA
"SERVCOTRM086NEST",NA,"Estacionario",NA,NA
"SERVRPTRM086NEST",NA,"Estacionario",NA,NA
"SERVTRTRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"SERVMITRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"CP0730TRM086NEST","Estacionario","Estacionario","Estacionario","Estacionario"
"LMUNRLTTTRM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"NBTRBIS",NA,"Estacionario",NA,NA
"CCUSMA02TRM661N",NA,"Estacionario",NA,NA
"RBTRBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01TRM650N",NA,"Estacionario",NA,NA
"TURCPHPLA01IXOBM",NA,"Estacionario",NA,NA
"CPGRLE01TRM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"IRSTCI01TRM156N",NA,"Estacionario",NA,NA
"INTDSRTRM193N",NA,"Estacionario",NA,NA
"TRESEGTRM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"XTEXVA01TRM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"TURXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURLOCOTXNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURLOCOTXORSTM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXP4890","Estacionario","Estacionario","Estacionario","Estacionario"
"XTIMVA01TRM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"TURXTIMVA01CXMLM",NA,"Estacionario","Estacionario","Estacionario"
"TURLOCOMGNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"TURLOCOMGORCXMLSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"IMP4890","Estacionario","Estacionario","Estacionario","Estacionario"
"XU100.IS","Estacionario","Estacionario","Estacionario","Estacionario"
"XU030.IS","Estacionario","Estacionario","Estacionario","Estacionario"
