"","1r","2r","3r","4r"
"NGDPRSAXDCTRQ",0.01,0.01,0.01,0.01
"CP0410TRM086NEST",0.0149335627337226,0.0149335627337226,0.408149199925471,0.0169296471601385
"CP0500TRM086NEST",0.021159725900369,0.021159725900369,0.99,0.0204760913270162
"CP0400TRM086NEST",0.01,0.01,0.01,0.01
"CP0430TRM086NEST",0.01,0.01,0.937944210972107,0.01
"CP0431TRM086NEST",0.01,0.01,0.965595903117914,0.01
"X00XHOUTRM086NEST",0.01,0.01,0.325824735565317,0.01
"SERVHOTRM086NEST",0.0247002760302313,0.0247002760302313,0.583935482338368,0.0371151410978975
"CP0550TRM086NEST",0.01,0.01,0.684394826585465,0.01
"CP0440TRM086NEST",0.01,0.01,0.01,0.01
"BSCURT02TRM160S",0.0286390314064314,0.0286390314064314,0.0395798204031606,0.050972196943048
"BSCICP02TRM460S",0.019063547057437,0.019063547057437,0.0225418068375553,0.0219198889201517
"BSCICP03TRM665S",0.01,0.01,0.01,0.01
"BSFGLV02TRM460S",0.01,0.01,0.01,0.01
"BSOBLV02TRM460S",0.01,0.01,0.118253247841818,0.01
"BSOITE02TRM460S",0.01,0.01,0.01,0.01
"BSPRFT02TRM460S",0.01,0.01,0.01,0.01
"TURPPDMMINMEI",0.01,0.01,0.01,0.01
"PIEAFD02TRM661N",0.01,0.01,0.99,0.01
"PIEAMP02TRM659N",0.01,0.362565297841259,0.01,0.99
"TURPIEAFD02GPM",0.0134431643343623,0.01,0.968591809151339,0.01
"TURPIEAMP02GPM",0.01,0.0134431643343623,0.0125643993817465,0.0121529913968161
"TURPROMANMISMEI",0.01,0.01,0.01,0.01
"TURPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"CP0611TRM086NEST",0.01,0.01,0.01,0.01
"TURLOCOPENOSTSAM",0.01,0.01,0.01,0.01
"TURLOCOPEORMLSAM",0.01,0.01,0.01,0.01
"TURPRCNBD01MLM",0.01,0.01,0.01,0.01
"TURPRENEL01MLSAM",0.01,0.01,0.01,0.01
"TURPREND401IXEBSAM",0.01,0.01,0.01,0.01
"TURPRENTO01IXOBSAM",0.01,0.01,0.01,0.01
"TURPRINTO01GPSAM",0.01,0.01,0.01,0.01
"TURPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"TURCPHP1200GPM",0.01,0.01,0.01,0.01
"TURCPHPSE01IXOBM",0.01,0.01,0.925544966307272,0.01
"TURCPGRLH02IXOBM",0.01,0.01,0.8901236692013,0.01
"CP1120TRM086NEST",0.01,0.01,0.01,0.01
"CP0562TRM086NEST",0.01,0.01,0.0466833369511499,0.034890899577259
"CP0630TRM086NEST",0.01,0.01,0.01,0.01
"CP0621TRM086NEST",0.01,0.01,0.01,0.01
"CP1200TRM086NEST",0.01,0.01,0.01,0.01
"SERV00TRM086NEST",0.01,0.01,0.925544966307272,0.01
"SERVCOTRM086NEST",0.01,0.01,0.841764731462159,0.01
"SERVRPTRM086NEST",0.01,0.01,0.940750442008845,0.01
"SERVTRTRM086NEST",0.01,0.01,0.01,0.01
"SERVMITRM086NEST",0.01,0.01,0.0176330091326216,0.0153792961848542
"CP0730TRM086NEST",0.01,0.01,0.01,0.01
"LMUNRLTTTRM647S",0.01,0.01,0.01,0.01
"NBTRBIS",0.01,0.01,0.145266724776212,0.01
"CCUSMA02TRM661N",0.01,0.01,0.206856842732378,0.01
"RBTRBIS",0.01,0.01,0.01,0.01
"CCUSSP01TRM650N",0.01,0.01,0.156408366271979,0.01
"TURCPHPLA01IXOBM",0.0155310103575123,0.01,0.206581264917362,0.01
"CPGRLE01TRM657N",0.01,0.0155310103575123,0.0214019433705526,0.0239933666231722
"IRSTCI01TRM156N",0.01,0.01,0.559274116413792,0.01
"INTDSRTRM193N",0.01,0.01,0.945285093260693,0.0150387647270892
"TRESEGTRM052N",0.01,0.01,0.01,0.01
"XTEXVA01TRM657S",0.01,0.01,0.01,0.01
"TURXTEXVA01CXMLM",0.01,0.01,0.01,0.01
"TURLOCOTXNOSTSAM",0.01,0.01,0.01,0.01
"TURLOCOTXORSTM",0.01,0.01,0.01,0.01
"EXP4890",0.01,0.01,0.01,0.01
"XTIMVA01TRM657S",0.01,0.01,0.01,0.01
"TURXTIMVA01CXMLM",0.01,0.01,0.0494095583477758,0.0555102237866917
"TURLOCOMGNOSTSAM",0.01,0.01,0.01,0.01
"TURLOCOMGORCXMLSAM",0.0173814554213051,0.01,0.01,0.01
"IMP4890",0.01,0.0173814554213051,0.019412714800937,0.0205189673156437
"XU100.IS",0.01,0.01,0.01,0.01
"XU030.IS",0.01,0.01,0.01,0.01
