"","1r","2r","3r","4r"
"UKNGDP",NA,NA,NA,NA
"GBRCP040200IXOBM",NA,NA,NA,NA
"BSCICP02GBM460S",NA,NA,NA,NA
"BSCICP03GBM665S",NA,NA,NA,NA
"LCEAMN01GBM661S",NA,NA,NA,NA
"GBRLCEAMN01GPSAM",NA,NA,NA,NA
"PIEAMP02GBM659N",1,NA,1,1
"GBRPIEAMP02GPM",NA,NA,NA,NA
"GBRPROMANMISMEI",NA,NA,NA,NA
"GBRPRMNTO01GPSAM",NA,NA,NA,NA
"LCEAMN02GBM661S",NA,NA,NA,NA
"GBRLOCOBPNOSTSAM",NA,NA,NA,NA
"GBRPREND401IXOBM",NA,NA,NA,NA
"GBRPRINTO01GPSAM",NA,NA,NA,NA
"GBRPRMITO01IXOBSAM",NA,NA,NA,NA
"GBRCPHP1200IXOBM",1,NA,1,1
"GBRCPHPSE01IXOBM",NA,NA,NA,NA
"GBRCP040400IXOBM",NA,NA,NA,NA
"GBRCP120000GPM",NA,NA,NA,NA
"GBRCPGRLH02IXOBM",1,NA,1,1
"GBRCPGRSE01IXOBM",NA,NA,NA,NA
"LRHUTTTTGBM156S",1,1,NA,NA
"LMUNRLTTGBM647S",NA,NA,NA,NA
"LFHUTTTTGBM647S",NA,NA,NA,NA
"NBGBBIS",NA,NA,NA,NA
"CCEUSP01GBM651N",NA,NA,NA,NA
"NNGBBIS",NA,NA,NA,NA
"CCUSMA02GBM661N",NA,NA,NA,NA
"RBGBBIS",NA,NA,NA,NA
"CCRETT01GBM661N",NA,NA,NA,NA
"RNGBBIS",1,NA,1,1
"EXUSUK",NA,NA,NA,NA
"CCUSSP01GBM650N",NA,NA,NA,NA
"CPGRLE01GBM657N",1,NA,1,1
"IR3TIB01GBM156N",1,NA,1,1
"IRSTCI01GBM156N",1,NA,1,1
"INTGSBGBM193N",1,NA,1,1
"IRLTLT01GBM156N",1,NA,1,1
"TRESEGGBM052N",NA,NA,NA,NA
"BSXRLV02GBM086S",1,NA,1,1
"XTEXVA01GBM657S",NA,NA,NA,NA
"GBRXTEXVA01CXMLM",NA,NA,NA,NA
"EXPUK",NA,NA,1,1
"XTIMVA01GBM657S",NA,NA,NA,NA
"GBRXTIMVA01CXMLM",1,NA,1,1
"IMPUK",NA,NA,NA,NA
"FTSE",NA,NA,NA,NA
