"","1r","2r","3r","4r"
"UKNGDP","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRCP040200IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP02GBM460S","Estacionario","Estacionario","Estacionario","Estacionario"
"BSCICP03GBM665S","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN01GBM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRLCEAMN01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"PIEAMP02GBM659N",NA,"Estacionario",NA,NA
"GBRPIEAMP02GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRPROMANMISMEI","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRPRMNTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"LCEAMN02GBM661S","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRLOCOBPNOSTSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRPREND401IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRPRINTO01GPSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRPRMITO01IXOBSAM","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRCPHP1200IXOBM",NA,"Estacionario",NA,NA
"GBRCPHPSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRCP040400IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRCP120000GPM","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRCPGRLH02IXOBM",NA,"Estacionario",NA,NA
"GBRCPGRSE01IXOBM","Estacionario","Estacionario","Estacionario","Estacionario"
"LRHUTTTTGBM156S",NA,NA,"Estacionario","Estacionario"
"LMUNRLTTGBM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"LFHUTTTTGBM647S","Estacionario","Estacionario","Estacionario","Estacionario"
"NBGBBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCEUSP01GBM651N","Estacionario","Estacionario","Estacionario","Estacionario"
"NNGBBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSMA02GBM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RBGBBIS","Estacionario","Estacionario","Estacionario","Estacionario"
"CCRETT01GBM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"RNGBBIS",NA,"Estacionario",NA,NA
"EXUSUK","Estacionario","Estacionario","Estacionario","Estacionario"
"CCUSSP01GBM650N","Estacionario","Estacionario","Estacionario","Estacionario"
"CPGRLE01GBM657N",NA,"Estacionario",NA,NA
"IR3TIB01GBM156N",NA,"Estacionario",NA,NA
"IRSTCI01GBM156N",NA,"Estacionario",NA,NA
"INTGSBGBM193N",NA,"Estacionario",NA,NA
"IRLTLT01GBM156N",NA,"Estacionario",NA,NA
"TRESEGGBM052N","Estacionario","Estacionario","Estacionario","Estacionario"
"BSXRLV02GBM086S",NA,"Estacionario",NA,NA
"XTEXVA01GBM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRXTEXVA01CXMLM","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPUK","Estacionario","Estacionario",NA,NA
"XTIMVA01GBM657S","Estacionario","Estacionario","Estacionario","Estacionario"
"GBRXTIMVA01CXMLM",NA,"Estacionario",NA,NA
"IMPUK","Estacionario","Estacionario","Estacionario","Estacionario"
"FTSE","Estacionario","Estacionario","Estacionario","Estacionario"
