"","1r","2r","3r","4r"
"UKNGDP",0.0125653465574536,0.0125653465574536,0.0146062919432761,0.0161345450988295
"GBRCP040200IXOBM",0.01,0.01,0.01,0.01
"BSCICP02GBM460S",0.01,0.01,0.01,0.01
"BSCICP03GBM665S",0.01,0.01,0.01,0.01
"LCEAMN01GBM661S",0.01,0.01,0.01,0.01
"GBRLCEAMN01GPSAM",0.01,0.01,0.01,0.01
"PIEAMP02GBM659N",0.01,0.01,0.408598013371515,0.01
"GBRPIEAMP02GPM",0.01,0.01,0.01,0.01
"GBRPROMANMISMEI",0.01,0.01,0.01,0.01
"GBRPRMNTO01GPSAM",0.01,0.01,0.01,0.01
"LCEAMN02GBM661S",0.01,0.01,0.01,0.01
"GBRLOCOBPNOSTSAM",0.01,0.01,0.01,0.01
"GBRPREND401IXOBM",0.01,0.01,0.01,0.01
"GBRPRINTO01GPSAM",0.01,0.01,0.01,0.01
"GBRPRMITO01IXOBSAM",0.01,0.01,0.01,0.01
"GBRCPHP1200IXOBM",0.01,0.01,0.126479744641564,0.01
"GBRCPHPSE01IXOBM",0.01,0.01,0.01,0.01
"GBRCP040400IXOBM",0.01,0.01,0.01,0.0100370835049707
"GBRCP120000GPM",0.01,0.01,0.01,0.01
"GBRCPGRLH02IXOBM",0.01,0.01,0.152133601191197,0.01
"GBRCPGRSE01IXOBM",0.01,0.01,0.01,0.01
"LRHUTTTTGBM156S",0.0193480127540276,0.0628599138674744,0.01,0.90922890223718
"LMUNRLTTGBM647S",0.0359034654646233,0.0193480127540276,0.0205829019234472,0.0216737067633329
"LFHUTTTTGBM647S",0.0182824479938445,0.0359034654646233,0.0403573509114404,0.0385447274703243
"NBGBBIS",0.01,0.0182824479938445,0.0182168645625513,0.0217735831537048
"CCEUSP01GBM651N",0.01,0.01,0.01,0.0165321833148063
"NNGBBIS",0.01,0.01,0.01,0.0112596161203395
"CCUSMA02GBM661N",0.01,0.01,0.01,0.0113212115884432
"RBGBBIS",0.01,0.01,0.01,0.0105571289716149
"CCRETT01GBM661N",0.01,0.01,0.01,0.01
"RNGBBIS",0.01,0.01,0.0638200677347631,0.01
"EXUSUK",0.01,0.01,0.01,0.01
"CCUSSP01GBM650N",0.01,0.01,0.01,0.01
"CPGRLE01GBM657N",0.01,0.01,0.596613341287745,0.01
"IR3TIB01GBM156N",0.01,0.01,0.343276818443449,0.012115095790775
"IRSTCI01GBM156N",0.01,0.01,0.160864026226876,0.01
"INTGSBGBM193N",0.01,0.01,0.155409886143158,0.01
"IRLTLT01GBM156N",0.0186470772450897,0.01,0.165091331565813,0.01
"TRESEGGBM052N",0.01,0.0186470772450897,0.0201724663970112,0.0214321493388283
"BSXRLV02GBM086S",0.01,0.01,0.170598962042866,0.01
"XTEXVA01GBM657S",0.0106393405899485,0.01,0.01,0.01
"GBRXTEXVA01CXMLM",0.0424490171419422,0.0106393405899485,0.0121722574997305,0.01
"EXPUK",0.0210559161454351,0.0424490171419422,0.0575279773197505,0.01
"XTIMVA01GBM657S",0.01,0.0210559161454351,0.0205465093440542,0.021057431460791
"GBRXTIMVA01CXMLM",0.01,0.01,0.247974921658826,0.01
"IMPUK",0.0307109683143408,0.01,0.01,0.01
"FTSE",0.0311897118604781,0.0307109683143408,0.0342573381723492,0.0384988392252964
