"","1r","2r","3r","4r"
"A191RP1Q027SBEA",NA,NA,NA,NA
"AWHNONAG",1,NA,NA,NA
"A132RC1",NA,NA,NA,NA
"CES6056170001",NA,NA,NA,NA
"ASPNHSUS",1,NA,NA,NA
"AUTHNOTT",1,NA,1,1
"CPIEHOUSE",1,NA,NA,NA
"CAPUTLGMFDS",1,NA,1,1
"CAPUTLGMFNS",1,NA,NA,NA
"CAPUTLGMFOS",1,NA,1,1
"CAPGMFDS",1,NA,1,1
"CAPGMFS",NA,NA,NA,NA
"CAPG315S",NA,NA,NA,NA
"CAPGMFNS",1,NA,1,1
"CAPGMFOS",NA,NA,NA,NA
"AMDMUO",NA,NA,NA,NA
"AMTMUO",NA,NA,NA,NA
"CC4WSA",NA,NA,NA,NA
"BC0DCBM027SBOG",NA,NA,NA,NA
"BC0FRIM027SBOG",NA,NA,NA,NA
"BC0LCBM027SBOG",NA,NA,NA,NA
"BC0SCBM027SBOG",NA,NA,NA,NA
"EXPINF10YR",1,NA,1,1
"EXPINF1YR",1,NA,NA,NA
"EXPINF20YR",1,NA,1,1
"EXPINF30YR",1,NA,1,1
"CPIAUCSL",NA,NA,NA,NA
"CUSR0000SAC",1,NA,NA,NA
"CUSR0000SAD",1,NA,1,1
"CPIENGSL",NA,NA,NA,NA
"CPIUFDSL",NA,NA,NA,NA
"CUSR0000SEHE",NA,NA,NA,NA
"CUSR0000SETB01",NA,NA,NA,NA
"CUSR0000SAH21",NA,NA,NA,NA
"CUSR0000SETA01",1,NA,1,1
"CUSR0000SAN",NA,NA,NA,NA
"CUSR0000SAS",NA,NA,NA,NA
"CPITRNSL",1,NA,NA,NA
"CPGRLE01USM657N",NA,NA,NA,NA
"CPALWE01USM661N",NA,NA,NA,NA
"EMVMACROINFLATION",1,NA,1,1
"DPCCRC1M027SBEA",NA,NA,NA,NA
"PCU212399212399",NA,NA,NA,NA
"PCU212113212113",NA,NA,NA,NA
"PCU2111112111111",NA,NA,NA,NA
"PCU2111112111113",NA,NA,NA,NA
"PCU311311",NA,NA,NA,NA
"PCU212322212322",1,NA,1,1
"PCU212210212210",NA,NA,NA,NA
"PCU311213311213",1,NA,NA,NA
"PCU21222122",NA,NA,NA,NA
"PCU221210221210114",1,NA,NA,NA
"PCU21112111",NA,NA,NA,NA
"PCU311212311212",NA,NA,NA,NA
"PCU213112213112",NA,NA,NA,NA
"CPIEALL",NA,NA,NA,NA
"MICH",1,NA,1,1
"HQMCB100YR",1,NA,NA,NA
"HQMCB10YRP",1,NA,1,1
"HQMCB10YR",1,NA,1,1
"HQMCB1YR",1,NA,1,1
"DTB1YR",NA,NA,NA,NA
"HQMCB20YR",1,NA,1,1
"CPF1M",NA,NA,NA,NA
"CPN1M",1,NA,NA,NA
"DTP30A28",1,NA,1,1
"DTP30A29",1,NA,1,1
"HQMCB30YRP",1,NA,1,1
"HQMCB30YR",1,NA,1,1
"HQMCB40YR",1,NA,1,1
"HQMCB50YR",1,NA,1,1
"HQMCB60YR",1,NA,1,1
"DTB6",NA,NA,NA,NA
"HQMCB70YR",1,NA,NA,NA
"HQMCB80YR",1,NA,NA,NA
"CPF3M",NA,NA,NA,NA
"CPN3M",NA,NA,NA,NA
"EMVMACROINTEREST",NA,NA,NA,NA
"FEDFUNDS",NA,NA,NA,NA
"BAMLC7A0C1015YEY",1,NA,1,1
"BAMLC1A0C13YEY",1,NA,1,1
"BAMLC8A0C15PYEY",1,NA,1,1
"BAMLC2A0C35YEY",1,NA,1,1
"BAMLC4A0C710YEY",1,NA,1,1
"BAMLC0A2CAAEY",1,NA,1,1
"BAMLC0A1CAAAEY",1,NA,1,1
"BAMLH0A1HYBBEY",1,NA,1,1
"BAMLH0A1HYBB",1,NA,1,1
"BAMLHYH0A1BBTRIV",NA,NA,NA,NA
"BAMLC0A4CBBBEY",1,NA,1,1
"BAMLH0A3HYCEY",1,NA,1,1
"BAMLH0A3HYC",1,NA,1,1
"BAMLHYH0A3CMTRIV",NA,NA,NA,NA
"BAMLC0A3CAEY",1,NA,1,1
"BAMLH0A2HYBEY",1,NA,1,1
"BAMLH0A2HYB",1,NA,1,1
"BAMLH0A2HYBSYTW",1,NA,1,1
"BAMLHYH0A2BTRIV",NA,NA,NA,NA
"BAMLC0A0CMEY",1,NA,1,1
"BAMLH0A0HYM2EY",1,NA,1,1
"BAMLH0A0HYM2",1,NA,1,1
"BAMLH0A0HYM2SYTW",1,NA,1,1
"BAMLHYH0A0HYM2TRIV",NA,NA,NA,NA
"GS10",1,NA,1,1
"GS1",NA,NA,NA,NA
"GS20",1,NA,1,1
"GS30",1,NA,1,1
"GS5",1,1,NA,NA
"AAAFFM",1,NA,NA,NA
"AAA",1,NA,1,1
"AAA10YM",NA,NA,NA,NA
"BAAFFM",NA,NA,NA,NA
"BAA",1,NA,1,1
"BAA10YM",1,NA,NA,NA
"B069RC1",NA,NA,NA,NA
"M2SL",1,NA,NA,NA
"M2MSL",1,NA,NA,NA
"M2REAL",NA,1,NA,NA
"T10Y2YM",1,NA,NA,NA
"T10Y3MM",1,NA,NA,NA
"T10YFFM",1,NA,NA,NA
"T1YFFM",NA,NA,NA,NA
"T3MFFM",NA,1,NA,NA
"T5YFFM",1,NA,NA,NA
"T6MFFM",NA,NA,NA,NA
"TEDRATE",NA,NA,NA,NA
"WOTHAST",NA,NA,NA,NA
"BOPGSTB",NA,NA,NA,NA
"BOPGTB",NA,NA,NA,NA
"BOPSTB",NA,NA,NA,NA
"AUESA",NA,NA,NA,NA
"BSXRLV02USM086S",NA,NA,NA,NA
"BOPTEXP",NA,NA,NA,NA
"EXPTOTUS",1,NA,NA,NA
"BOPGEXP",NA,NA,NA,NA
"EXPMANUS",1,NA,NA,NA
"EXPNONUS",NA,NA,NA,NA
"BOPSEXP",NA,NA,NA,NA
"EECTOT",NA,NA,NA,NA
"BOPTIMP",NA,NA,NA,NA
"BOPGIMP",NA,NA,NA,NA
"BOPSIMP",NA,NA,NA,NA
"GSPC",NA,NA,NA,NA
"DJI",NA,NA,NA,NA
"VIX",NA,NA,NA,NA
