"","1r","2r","3r","4r"
"A191RP1Q027SBEA","Estacionario","Estacionario","Estacionario","Estacionario"
"AWHNONAG",NA,"Estacionario","Estacionario","Estacionario"
"A132RC1","Estacionario","Estacionario","Estacionario","Estacionario"
"CES6056170001","Estacionario","Estacionario","Estacionario","Estacionario"
"ASPNHSUS",NA,"Estacionario","Estacionario","Estacionario"
"AUTHNOTT",NA,"Estacionario",NA,NA
"CPIEHOUSE",NA,"Estacionario","Estacionario","Estacionario"
"CAPUTLGMFDS",NA,"Estacionario",NA,NA
"CAPUTLGMFNS",NA,"Estacionario","Estacionario","Estacionario"
"CAPUTLGMFOS",NA,"Estacionario",NA,NA
"CAPGMFDS",NA,"Estacionario",NA,NA
"CAPGMFS","Estacionario","Estacionario","Estacionario","Estacionario"
"CAPG315S","Estacionario","Estacionario","Estacionario","Estacionario"
"CAPGMFNS",NA,"Estacionario",NA,NA
"CAPGMFOS","Estacionario","Estacionario","Estacionario","Estacionario"
"AMDMUO","Estacionario","Estacionario","Estacionario","Estacionario"
"AMTMUO","Estacionario","Estacionario","Estacionario","Estacionario"
"CC4WSA","Estacionario","Estacionario","Estacionario","Estacionario"
"BC0DCBM027SBOG","Estacionario","Estacionario","Estacionario","Estacionario"
"BC0FRIM027SBOG","Estacionario","Estacionario","Estacionario","Estacionario"
"BC0LCBM027SBOG","Estacionario","Estacionario","Estacionario","Estacionario"
"BC0SCBM027SBOG","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPINF10YR",NA,"Estacionario",NA,NA
"EXPINF1YR",NA,"Estacionario","Estacionario","Estacionario"
"EXPINF20YR",NA,"Estacionario",NA,NA
"EXPINF30YR",NA,"Estacionario",NA,NA
"CPIAUCSL","Estacionario","Estacionario","Estacionario","Estacionario"
"CUSR0000SAC",NA,"Estacionario","Estacionario","Estacionario"
"CUSR0000SAD",NA,"Estacionario",NA,NA
"CPIENGSL","Estacionario","Estacionario","Estacionario","Estacionario"
"CPIUFDSL","Estacionario","Estacionario","Estacionario","Estacionario"
"CUSR0000SEHE","Estacionario","Estacionario","Estacionario","Estacionario"
"CUSR0000SETB01","Estacionario","Estacionario","Estacionario","Estacionario"
"CUSR0000SAH21","Estacionario","Estacionario","Estacionario","Estacionario"
"CUSR0000SETA01",NA,"Estacionario",NA,NA
"CUSR0000SAN","Estacionario","Estacionario","Estacionario","Estacionario"
"CUSR0000SAS","Estacionario","Estacionario","Estacionario","Estacionario"
"CPITRNSL",NA,"Estacionario","Estacionario","Estacionario"
"CPGRLE01USM657N","Estacionario","Estacionario","Estacionario","Estacionario"
"CPALWE01USM661N","Estacionario","Estacionario","Estacionario","Estacionario"
"EMVMACROINFLATION",NA,"Estacionario",NA,NA
"DPCCRC1M027SBEA","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU212399212399","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU212113212113","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU2111112111111","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU2111112111113","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU311311","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU212322212322",NA,"Estacionario",NA,NA
"PCU212210212210","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU311213311213",NA,"Estacionario","Estacionario","Estacionario"
"PCU21222122","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU221210221210114",NA,"Estacionario","Estacionario","Estacionario"
"PCU21112111","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU311212311212","Estacionario","Estacionario","Estacionario","Estacionario"
"PCU213112213112","Estacionario","Estacionario","Estacionario","Estacionario"
"CPIEALL","Estacionario","Estacionario","Estacionario","Estacionario"
"MICH",NA,"Estacionario",NA,NA
"HQMCB100YR",NA,"Estacionario","Estacionario","Estacionario"
"HQMCB10YRP",NA,"Estacionario",NA,NA
"HQMCB10YR",NA,"Estacionario",NA,NA
"HQMCB1YR",NA,"Estacionario",NA,NA
"DTB1YR","Estacionario","Estacionario","Estacionario","Estacionario"
"HQMCB20YR",NA,"Estacionario",NA,NA
"CPF1M","Estacionario","Estacionario","Estacionario","Estacionario"
"CPN1M",NA,"Estacionario","Estacionario","Estacionario"
"DTP30A28",NA,"Estacionario",NA,NA
"DTP30A29",NA,"Estacionario",NA,NA
"HQMCB30YRP",NA,"Estacionario",NA,NA
"HQMCB30YR",NA,"Estacionario",NA,NA
"HQMCB40YR",NA,"Estacionario",NA,NA
"HQMCB50YR",NA,"Estacionario",NA,NA
"HQMCB60YR",NA,"Estacionario",NA,NA
"DTB6","Estacionario","Estacionario","Estacionario","Estacionario"
"HQMCB70YR",NA,"Estacionario","Estacionario","Estacionario"
"HQMCB80YR",NA,"Estacionario","Estacionario","Estacionario"
"CPF3M","Estacionario","Estacionario","Estacionario","Estacionario"
"CPN3M","Estacionario","Estacionario","Estacionario","Estacionario"
"EMVMACROINTEREST","Estacionario","Estacionario","Estacionario","Estacionario"
"FEDFUNDS","Estacionario","Estacionario","Estacionario","Estacionario"
"BAMLC7A0C1015YEY",NA,"Estacionario",NA,NA
"BAMLC1A0C13YEY",NA,"Estacionario",NA,NA
"BAMLC8A0C15PYEY",NA,"Estacionario",NA,NA
"BAMLC2A0C35YEY",NA,"Estacionario",NA,NA
"BAMLC4A0C710YEY",NA,"Estacionario",NA,NA
"BAMLC0A2CAAEY",NA,"Estacionario",NA,NA
"BAMLC0A1CAAAEY",NA,"Estacionario",NA,NA
"BAMLH0A1HYBBEY",NA,"Estacionario",NA,NA
"BAMLH0A1HYBB",NA,"Estacionario",NA,NA
"BAMLHYH0A1BBTRIV","Estacionario","Estacionario","Estacionario","Estacionario"
"BAMLC0A4CBBBEY",NA,"Estacionario",NA,NA
"BAMLH0A3HYCEY",NA,"Estacionario",NA,NA
"BAMLH0A3HYC",NA,"Estacionario",NA,NA
"BAMLHYH0A3CMTRIV","Estacionario","Estacionario","Estacionario","Estacionario"
"BAMLC0A3CAEY",NA,"Estacionario",NA,NA
"BAMLH0A2HYBEY",NA,"Estacionario",NA,NA
"BAMLH0A2HYB",NA,"Estacionario",NA,NA
"BAMLH0A2HYBSYTW",NA,"Estacionario",NA,NA
"BAMLHYH0A2BTRIV","Estacionario","Estacionario","Estacionario","Estacionario"
"BAMLC0A0CMEY",NA,"Estacionario",NA,NA
"BAMLH0A0HYM2EY",NA,"Estacionario",NA,NA
"BAMLH0A0HYM2",NA,"Estacionario",NA,NA
"BAMLH0A0HYM2SYTW",NA,"Estacionario",NA,NA
"BAMLHYH0A0HYM2TRIV","Estacionario","Estacionario","Estacionario","Estacionario"
"GS10",NA,"Estacionario",NA,NA
"GS1","Estacionario","Estacionario","Estacionario","Estacionario"
"GS20",NA,"Estacionario",NA,NA
"GS30",NA,"Estacionario",NA,NA
"GS5",NA,NA,"Estacionario","Estacionario"
"AAAFFM",NA,"Estacionario","Estacionario","Estacionario"
"AAA",NA,"Estacionario",NA,NA
"AAA10YM","Estacionario","Estacionario","Estacionario","Estacionario"
"BAAFFM","Estacionario","Estacionario","Estacionario","Estacionario"
"BAA",NA,"Estacionario",NA,NA
"BAA10YM",NA,"Estacionario","Estacionario","Estacionario"
"B069RC1","Estacionario","Estacionario","Estacionario","Estacionario"
"M2SL",NA,"Estacionario","Estacionario","Estacionario"
"M2MSL",NA,"Estacionario","Estacionario","Estacionario"
"M2REAL","Estacionario",NA,"Estacionario","Estacionario"
"T10Y2YM",NA,"Estacionario","Estacionario","Estacionario"
"T10Y3MM",NA,"Estacionario","Estacionario","Estacionario"
"T10YFFM",NA,"Estacionario","Estacionario","Estacionario"
"T1YFFM","Estacionario","Estacionario","Estacionario","Estacionario"
"T3MFFM","Estacionario",NA,"Estacionario","Estacionario"
"T5YFFM",NA,"Estacionario","Estacionario","Estacionario"
"T6MFFM","Estacionario","Estacionario","Estacionario","Estacionario"
"TEDRATE","Estacionario","Estacionario","Estacionario","Estacionario"
"WOTHAST","Estacionario","Estacionario","Estacionario","Estacionario"
"BOPGSTB","Estacionario","Estacionario","Estacionario","Estacionario"
"BOPGTB","Estacionario","Estacionario","Estacionario","Estacionario"
"BOPSTB","Estacionario","Estacionario","Estacionario","Estacionario"
"AUESA","Estacionario","Estacionario","Estacionario","Estacionario"
"BSXRLV02USM086S","Estacionario","Estacionario","Estacionario","Estacionario"
"BOPTEXP","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPTOTUS",NA,"Estacionario","Estacionario","Estacionario"
"BOPGEXP","Estacionario","Estacionario","Estacionario","Estacionario"
"EXPMANUS",NA,"Estacionario","Estacionario","Estacionario"
"EXPNONUS","Estacionario","Estacionario","Estacionario","Estacionario"
"BOPSEXP","Estacionario","Estacionario","Estacionario","Estacionario"
"EECTOT","Estacionario","Estacionario","Estacionario","Estacionario"
"BOPTIMP","Estacionario","Estacionario","Estacionario","Estacionario"
"BOPGIMP","Estacionario","Estacionario","Estacionario","Estacionario"
"BOPSIMP","Estacionario","Estacionario","Estacionario","Estacionario"
"GSPC","Estacionario","Estacionario","Estacionario","Estacionario"
"DJI","Estacionario","Estacionario","Estacionario","Estacionario"
"VIX","Estacionario","Estacionario","Estacionario","Estacionario"
