"","1r","2r","3r","4r"
"A191RP1Q027SBEA",0.01,0.01,0.01,0.01
"AWHNONAG",0.01,0.01,0.0227085408535851,0.0242771893117167
"A132RC1",0.01,0.01,0.01,0.01
"CES6056170001",0.01,0.01,0.01,0.01
"ASPNHSUS",0.01,0.01,0.0165179970999317,0.0169719659417377
"AUTHNOTT",0.01,0.01,0.065602824511519,0.01
"CPIEHOUSE",0.01,0.01,0.0249149893223836,0.0273090603913617
"CAPUTLGMFDS",0.01,0.01,0.181514070158812,0.01
"CAPUTLGMFNS",0.01,0.01,0.0442905834451262,0.0437315229658335
"CAPUTLGMFOS",0.01,0.01,0.445372722787316,0.0163215987464476
"CAPGMFDS",0.01,0.01,0.144525051480441,0.01
"CAPGMFS",0.0216699693574151,0.0216699693574151,0.0231681925425217,0.0246661618702302
"CAPG315S",0.0126166797937989,0.0126166797937989,0.0124971704928955,0.0123910032598498
"CAPGMFNS",0.01,0.01,0.0807867906553945,0.01
"CAPGMFOS",0.01,0.01,0.01,0.01
"AMDMUO",0.01,0.01,0.01,0.01
"AMTMUO",0.01,0.01,0.01,0.01
"CC4WSA",0.01,0.01,0.01,0.01
"BC0DCBM027SBOG",0.01,0.01,0.0102896612465122,0.0109662408358115
"BC0FRIM027SBOG",0.01,0.01,0.01,0.01
"BC0LCBM027SBOG",0.01,0.01,0.01,0.01
"BC0SCBM027SBOG",0.04362609374608,0.04362609374608,0.0464588129498675,0.0492941575794275
"EXPINF10YR",0.0144642045833075,0.0144642045833075,0.213862122362192,0.0164965109320591
"EXPINF1YR",0.01,0.01,0.01,0.01
"EXPINF20YR",0.0149267559966335,0.0149267559966335,0.25215828065646,0.015636875070794
"EXPINF30YR",0.0152098405254501,0.0152098405254501,0.285744280899818,0.0158655394023493
"CPIAUCSL",0.01,0.01,0.01,0.01
"CUSR0000SAC",0.01,0.01,0.0182814612550343,0.0197307102715801
"CUSR0000SAD",0.01,0.01,0.297226135851599,0.01
"CPIENGSL",0.01,0.01,0.01,0.01
"CPIUFDSL",0.0176584955645412,0.0176584955645412,0.0179154857042127,0.0192717269052772
"CUSR0000SEHE",0.01,0.01,0.01,0.01
"CUSR0000SETB01",0.01,0.01,0.01,0.01
"CUSR0000SAH21",0.01,0.01,0.01,0.01
"CUSR0000SETA01",0.01,0.01,0.0826829488732538,0.01
"CUSR0000SAN",0.01,0.01,0.01,0.01
"CUSR0000SAS",0.01,0.01,0.01,0.01
"CPITRNSL",0.01,0.01,0.01,0.01
"CPGRLE01USM657N",0.01,0.01,0.01,0.01
"CPALWE01USM661N",0.01,0.01,0.010895101630893,0.0126757872383489
"EMVMACROINFLATION",0.01,0.01,0.0804896066228961,0.01
"DPCCRC1M027SBEA",0.01,0.01,0.01,0.01
"PCU212399212399",0.01,0.01,0.01,0.0371733357771068
"PCU212113212113",0.01,0.01,0.01,0.01
"PCU2111112111111",0.01,0.01,0.01,0.01
"PCU2111112111113",0.01,0.01,0.01,0.01
"PCU311311",0.0225441544217921,0.0225441544217921,0.0240227110988299,0.0261509365426329
"PCU212322212322",0.01,0.01,0.953578566250258,0.01
"PCU212210212210",0.0182466796824226,0.0182466796824226,0.0193619305705187,0.0207687567496475
"PCU311213311213",0.01,0.01,0.0360881188285819,0.033212130719677
"PCU21222122",0.01,0.01,0.01,0.01
"PCU221210221210114",0.01,0.01,0.0115369597689621,0.0128589586890033
"PCU21112111",0.01,0.01,0.01,0.01
"PCU311212311212",0.01,0.01,0.01,0.01
"PCU213112213112",0.0187895905483856,0.0187895905483856,0.0201963929190834,0.0224157494027913
"CPIEALL",0.01,0.01,0.01,0.01
"MICH",0.01,0.01,0.0841191549730146,0.01
"HQMCB100YR",0.01,0.01,0.0240002615426968,0.0325301162460996
"HQMCB10YRP",0.01,0.01,0.591508700616999,0.01
"HQMCB10YR",0.01,0.01,0.606044699521234,0.01
"HQMCB1YR",0.01,0.01,0.274295874960442,0.01
"DTB1YR",0.01,0.01,0.01,0.0408545790789369
"HQMCB20YR",0.01,0.01,0.492195093477189,0.01
"CPF1M",0.0188238679060361,0.0188238679060361,0.01,0.0120141367903152
"CPN1M",0.01,0.01,0.01,0.01
"DTP30A28",0.0413592217775159,0.0413592217775159,0.448005209696456,0.0482272118115552
"DTP30A29",0.0378433981619039,0.0378433981619039,0.446998811151857,0.0449776372106443
"HQMCB30YRP",0.01,0.01,0.495132292355958,0.01
"HQMCB30YR",0.01,0.01,0.280440443091796,0.01
"HQMCB40YR",0.01,0.01,0.138764380475809,0.01
"HQMCB50YR",0.01,0.01,0.0782398363119588,0.01
"HQMCB60YR",0.01,0.01,0.0511368103658559,0.01
"DTB6",0.01,0.01,0.01,0.0134787999995646
"HQMCB70YR",0.01,0.01,0.0407034589083122,0.0554799802404268
"HQMCB80YR",0.01,0.01,0.0341865530703914,0.045254084608335
"CPF3M",0.0266442480019583,0.0266442480019583,0.01,0.0427282326657999
"CPN3M",0.01,0.01,0.01,0.0274880332337218
"EMVMACROINTEREST",0.0191839157850471,0.0191839157850471,0.0201921984444927,0.0211655440770202
"FEDFUNDS",0.01,0.01,0.01,0.01
"BAMLC7A0C1015YEY",0.01,0.01,0.520347611786852,0.01
"BAMLC1A0C13YEY",0.01,0.01,0.520011255814219,0.01
"BAMLC8A0C15PYEY",0.01,0.01,0.540883312534108,0.01
"BAMLC2A0C35YEY",0.01,0.01,0.550386846269483,0.0110554138027519
"BAMLC4A0C710YEY",0.01,0.01,0.563692132572924,0.01
"BAMLC0A2CAAEY",0.01,0.01,0.556089715858199,0.01
"BAMLC0A1CAAAEY",0.0202492022834856,0.0202492022834856,0.422470770848275,0.0412509213810878
"BAMLH0A1HYBBEY",0.01,0.01,0.398696579700147,0.01
"BAMLH0A1HYBB",0.01,0.01,0.085092629511486,0.01
"BAMLHYH0A1BBTRIV",0.01,0.01,0.01,0.01
"BAMLC0A4CBBBEY",0.01,0.01,0.540148149874793,0.01
"BAMLH0A3HYCEY",0.01,0.01,0.376062470862201,0.01
"BAMLH0A3HYC",0.01,0.01,0.208075970106052,0.01
"BAMLHYH0A3CMTRIV",0.01,0.01,0.01,0.01
"BAMLC0A3CAEY",0.01,0.01,0.632005035818355,0.01
"BAMLH0A2HYBEY",0.01,0.01,0.469695036943135,0.01
"BAMLH0A2HYB",0.01,0.01,0.201497026703687,0.01
"BAMLH0A2HYBSYTW",0.01,0.01,0.479510914483359,0.01
"BAMLHYH0A2BTRIV",0.01,0.01,0.01,0.01
"BAMLC0A0CMEY",0.01,0.01,0.579938027459818,0.01
"BAMLH0A0HYM2EY",0.01,0.01,0.432728353924015,0.01
"BAMLH0A0HYM2",0.01,0.01,0.149975048715236,0.01
"BAMLH0A0HYM2SYTW",0.01,0.01,0.442962697646665,0.01
"BAMLHYH0A0HYM2TRIV",0.01,0.01,0.01,0.01
"GS10",0.0197348272428215,0.0197348272428215,0.266776750981162,0.0271608760401754
"GS1",0.01,0.01,0.01,0.0804754553523776
"GS20",0.01,0.01,0.350401287709042,0.01
"GS30",0.01,0.01,0.0949080095337351,0.01
"GS5",0.01,0.0885236694210292,0.01,0.395355701501616
"AAAFFM",0.01,0.01,0.01,0.01
"AAA",0.0487086765562767,0.01,0.316516130853545,0.0152298519110196
"AAA10YM",0.0485679705086718,0.0487086765562767,0.0498722622635857,0.120958969133007
"BAAFFM",0.01,0.0485679705086718,0.01,0.01
"BAA",0.01,0.01,0.61468166820734,0.01
"BAA10YM",0.01,0.01,0.0311448776985529,0.0406088772013198
"B069RC1",0.01,0.01,0.01,0.0122209985124777
"M2SL",0.01,0.01,0.0407833810646607,0.0436508604487154
"M2MSL",0.01,0.01,0.0384576135355556,0.0415003988277618
"M2REAL",0.01,0.0780004758580508,0.01,0.0862121830239237
"T10Y2YM",0.01,0.01,0.0124596271784955,0.0496773603322383
"T10Y3MM",0.01,0.01,0.01,0.01
"T10YFFM",0.0323621597648591,0.01,0.01,0.01
"T1YFFM",0.0174018881719077,0.0323621597648591,0.0290996625066917,0.01
"T3MFFM",0.01,0.113025212671546,0.012519220769834,0.021146856613074
"T5YFFM",0.0289436879485183,0.01,0.0260984411285716,0.01
"T6MFFM",0.01,0.0289436879485183,0.0341013278598847,0.0185638300161343
"TEDRATE",0.012120809463089,0.01,0.01,0.01
"WOTHAST",0.01,0.012120809463089,0.0133210388262303,0.0160197476955009
"BOPGSTB",0.01,0.01,0.01,0.01
"BOPGTB",0.01,0.01,0.01,0.01
"BOPSTB",0.01,0.01,0.01,0.01
"AUESA",0.0299948405839575,0.01,0.01,0.01
"BSXRLV02USM086S",0.01,0.0299948405839575,0.0352523771710534,0.0373339735040719
"BOPTEXP",0.01,0.01,0.01,0.01
"EXPTOTUS",0.01,0.01,0.01,0.01
"BOPGEXP",0.01,0.01,0.01,0.01
"EXPMANUS",0.01,0.01,0.0341571919695657,0.0370528422671167
"EXPNONUS",0.01,0.01,0.01,0.0132902330912704
"BOPSEXP",0.01,0.01,0.01,0.01
"EECTOT",0.01,0.01,0.01,0.01
"BOPTIMP",0.01,0.01,0.01,0.01
"BOPGIMP",0.01,0.01,0.01,0.01
"BOPSIMP",0.01,0.01,0.01,0.01
"GSPC",0.01,0.01,0.01,0.01
"DJI",0.01,0.01,0.01,0.01
"VIX",0.01,0.01,0.01,0.01
